ITERATION,TNE ( Total Network Error ),TNS ( Total Network Success ),MNE ( Mobile Network Error ),MNS ( Mobile Network Success ),Time Elapsed (s)
116,0.999934,0.137931,0.773282,0.106667,0.051134
117,0.999935,0.145299,0.779949,0.113333,0.051452
118,0.999935,0.152542,0.786616,0.120000,0.051821
119,0.999936,0.159664,0.793282,0.126667,0.052144
120,0.999936,0.166667,0.799949,0.133333,0.052462
121,0.999937,0.173554,0.806616,0.140000,0.052780
122,0.999937,0.180328,0.813282,0.146667,0.053106
123,0.999938,0.186992,0.819949,0.153333,0.053926
124,0.999938,0.193548,0.826616,0.160000,0.054252
125,0.999939,0.200000,0.833282,0.166667,0.054572
126,0.999939,0.206349,0.839949,0.173333,0.054892
127,0.999940,0.212598,0.846615,0.180000,0.055218
128,0.999940,0.218750,0.853282,0.186667,0.055534
129,0.999940,0.224806,0.859949,0.193333,0.055854
130,0.999941,0.230769,0.866615,0.200000,0.056169
131,0.999941,0.236641,0.873282,0.206667,0.056491
132,0.999942,0.242424,0.879949,0.213333,0.056809
133,0.999942,0.248120,0.886615,0.220000,0.057132
134,0.999943,0.253731,0.893282,0.226667,0.057538
135,0.999943,0.259259,0.899949,0.233333,0.057854
136,0.999943,0.264706,0.906615,0.240000,0.058402
137,0.999944,0.270073,0.913282,0.246667,0.059483
138,0.999944,0.275362,0.919949,0.253333,0.059805
139,0.999945,0.280576,0.926615,0.260000,0.060171
140,0.999945,0.285714,0.933282,0.266667,0.060502
141,0.999945,0.290780,0.939949,0.273333,0.060819
142,0.999946,0.295775,0.946615,0.280000,0.061132
143,0.999946,0.300699,0.953282,0.286667,0.061952
144,0.999946,0.305556,0.959949,0.293333,0.062284
145,0.999947,0.310345,0.966615,0.300000,0.062601
146,0.999947,0.315068,0.973282,0.306667,0.062915
147,0.999947,0.319728,0.979948,0.313333,0.063235
148,0.999948,0.324324,0.986615,0.320000,0.063555
149,0.999948,0.328859,0.993282,0.326667,0.063871
150,0.999948,0.333333,0.999948,0.333333,0.064182
151,0.999948,0.331126,0.999948,0.333333,0.064505
152,0.999947,0.328947,0.999948,0.333333,0.064823
