ITERATION,TNE ( Total Network Error ),TNS ( Total Network Success ),MNE ( Mobile Network Error ),MNS ( Mobile Network Success ),Time Elapsed (s)
116,0.403109,0.431034,0.311737,0.333333,0.082223
117,0.403492,0.427350,0.314724,0.333333,0.082627
118,0.403823,0.423729,0.317674,0.333333,0.083013
119,0.404103,0.420168,0.320588,0.333333,0.083598
120,0.404333,0.416667,0.323467,0.333333,0.084244
121,0.404517,0.413223,0.326311,0.333333,0.084693
122,0.404655,0.409836,0.329119,0.333333,0.085108
123,0.404749,0.406504,0.331894,0.333333,0.085580
124,0.404800,0.403226,0.334635,0.333333,0.085991
125,0.404810,0.400000,0.337342,0.333333,0.086745
126,0.404781,0.396825,0.340016,0.333333,0.087924
127,0.404713,0.393701,0.342657,0.333333,0.088352
128,0.404607,0.390625,0.345265,0.333333,0.088772
129,0.404466,0.387597,0.347841,0.333333,0.089191
130,0.404291,0.384615,0.350386,0.333333,0.089602
131,0.404082,0.381679,0.352899,0.333333,0.090009
132,0.403842,0.378788,0.355381,0.333333,0.090612
133,0.403570,0.375940,0.357832,0.333333,0.091027
134,0.403268,0.373134,0.360253,0.333333,0.091701
135,0.402938,0.370370,0.362644,0.333333,0.092089
136,0.402580,0.367647,0.365006,0.333333,0.092507
137,0.402195,0.364964,0.367338,0.333333,0.092902
138,0.401785,0.369565,0.369642,0.340000,0.093313
139,0.401350,0.374101,0.371917,0.346667,0.093704
140,0.400891,0.378571,0.374165,0.353333,0.094118
141,0.400409,0.382979,0.376384,0.360000,0.094527
142,0.399905,0.387324,0.378576,0.366667,0.094945
143,0.399380,0.391608,0.380742,0.373333,0.095442
144,0.398834,0.395833,0.382881,0.380000,0.095860
145,0.398269,0.400000,0.384994,0.386667,0.096258
146,0.397685,0.404110,0.387080,0.393333,0.096661
147,0.397084,0.408163,0.389142,0.400000,0.097164
148,0.396465,0.412162,0.391178,0.406667,0.097573
149,0.395829,0.416107,0.393190,0.413333,0.098106
150,0.395177,0.420000,0.395177,0.420000,0.098515
151,0.395029,0.417219,0.395053,0.413333,0.098913
152,0.394855,0.414474,0.394929,0.406667,0.099535
153,0.394655,0.411765,0.394803,0.400000,0.099931
154,0.394429,0.409091,0.394675,0.393333,0.100339
155,0.394179,0.406452,0.394545,0.386667,0.100874
156,0.393903,0.403846,0.394411,0.380000,0.101295
157,0.393606,0.401274,0.394278,0.373333,0.101739
158,0.393286,0.398734,0.394144,0.366667,0.102156
159,0.392947,0.396226,0.394011,0.360000,0.102568
160,0.392587,0.393750,0.393876,0.353333,0.103121
161,0.392204,0.391304,0.393739,0.346667,0.105467
162,0.391803,0.388889,0.393601,0.340000,0.107047
163,0.391385,0.386503,0.393465,0.333333,0.107516
164,0.390952,0.390244,0.393332,0.333333,0.107913
165,0.390495,0.393939,0.393192,0.333333,0.108324
166,0.390020,0.397590,0.393052,0.333333,0.108796
167,0.389530,0.401198,0.392912,0.333333,0.109216
168,0.389025,0.404762,0.392774,0.333333,0.109678
169,0.388502,0.408284,0.392634,0.333333,0.110076
170,0.387967,0.411765,0.392495,0.333333,0.110482
171,0.387416,0.415205,0.392357,0.333333,0.110893
172,0.386852,0.418605,0.392219,0.333333,0.111311
173,0.386281,0.421965,0.392084,0.333333,0.111721
174,0.385691,0.425287,0.391948,0.333333,0.112135
175,0.385089,0.428571,0.391812,0.333333,0.112525
176,0.384478,0.431818,0.391678,0.333333,0.112959
177,0.383854,0.435028,0.391544,0.333333,0.113356
178,0.383219,0.438202,0.391411,0.333333,0.113758
179,0.382575,0.441341,0.391279,0.333333,0.114724
180,0.381922,0.444444,0.391149,0.333333,0.115125
181,0.381259,0.447514,0.391020,0.333333,0.115735
182,0.380585,0.450549,0.390891,0.333333,0.116160
183,0.379901,0.453552,0.390763,0.333333,0.116560
184,0.379209,0.456522,0.390636,0.333333,0.118054
185,0.378512,0.459459,0.390512,0.333333,0.118723
186,0.377809,0.462366,0.390389,0.333333,0.119411
187,0.377096,0.465241,0.390267,0.333333,0.119846
188,0.376377,0.468085,0.390146,0.333333,0.120521
189,0.375656,0.470899,0.390029,0.333333,0.121002
190,0.374923,0.473684,0.389910,0.333333,0.121472
191,0.374184,0.476440,0.389794,0.333333,0.122001
192,0.373447,0.479167,0.389681,0.333333,0.122479
193,0.372701,0.481865,0.389569,0.333333,0.123053
194,0.371943,0.484536,0.389456,0.333333,0.124248
195,0.371178,0.487179,0.389344,0.333333,0.124942
196,0.370415,0.489796,0.389235,0.333333,0.125411
197,0.369643,0.492386,0.389127,0.333333,0.128966
198,0.368872,0.494949,0.389021,0.333333,0.130605
199,0.368092,0.497487,0.388916,0.333333,0.131231
200,0.367311,0.500000,0.388813,0.333333,0.131731
201,0.367924,0.497512,0.388088,0.333333,0.132214
202,0.368504,0.495050,0.387366,0.333333,0.132749
203,0.369055,0.492611,0.386646,0.333333,0.133223
204,0.369573,0.490196,0.385930,0.333333,0.133699
205,0.370064,0.487805,0.385216,0.333333,0.134691
206,0.370525,0.485437,0.384505,0.333333,0.135386
207,0.370958,0.483092,0.383796,0.333333,0.136157
208,0.371360,0.480769,0.383093,0.333333,0.136680
209,0.371738,0.478469,0.382391,0.333333,0.137178
210,0.372088,0.476190,0.381692,0.333333,0.137620
211,0.372410,0.473934,0.380999,0.333333,0.138074
212,0.372709,0.471698,0.380305,0.333333,0.138475
213,0.372982,0.469484,0.379616,0.333333,0.138974
214,0.373230,0.467290,0.378929,0.333333,0.139462
215,0.373454,0.465116,0.378246,0.333333,0.139871
216,0.373655,0.462963,0.377565,0.333333,0.140289
217,0.373832,0.460829,0.376888,0.333333,0.140699
218,0.373986,0.458716,0.376216,0.333333,0.141116
219,0.374118,0.456621,0.375546,0.333333,0.141511
220,0.374227,0.454545,0.374881,0.333333,0.141898
221,0.374316,0.452489,0.374218,0.333333,0.142300
222,0.374384,0.450450,0.373560,0.333333,0.142696
223,0.374431,0.448430,0.372905,0.333333,0.143147
224,0.374458,0.446429,0.372255,0.333333,0.143758
225,0.374465,0.444444,0.371608,0.333333,0.144208
226,0.374453,0.442478,0.370965,0.333333,0.144653
227,0.374422,0.440529,0.370326,0.333333,0.145074
228,0.374373,0.438596,0.369691,0.333333,0.145570
229,0.374306,0.436681,0.369061,0.333333,0.145997
230,0.374221,0.434783,0.368436,0.333333,0.146421
231,0.374119,0.432900,0.367816,0.333333,0.146833
232,0.374001,0.431034,0.367200,0.333333,0.147407
233,0.373866,0.429185,0.366589,0.333333,0.147802
234,0.373716,0.427350,0.365981,0.333333,0.150325
235,0.373549,0.425532,0.365378,0.333333,0.152199
236,0.373368,0.423729,0.364779,0.333333,0.154937
237,0.373171,0.421941,0.364185,0.333333,0.157739
238,0.372960,0.420168,0.363596,0.333333,0.158350
239,0.372736,0.418410,0.363013,0.333333,0.158815
240,0.372497,0.416667,0.362434,0.333333,0.159382
241,0.372245,0.414938,0.361861,0.333333,0.159819
242,0.371980,0.413223,0.361292,0.333333,0.160263
243,0.371702,0.411523,0.360728,0.333333,0.160742
244,0.371413,0.413934,0.360172,0.340000,0.161146
245,0.371111,0.416327,0.359618,0.346667,0.161595
246,0.370797,0.418699,0.359070,0.353333,0.162171
247,0.370472,0.421053,0.358527,0.360000,0.162569
248,0.370135,0.423387,0.357989,0.366667,0.162971
249,0.369789,0.425703,0.357458,0.373333,0.163512
250,0.369431,0.428000,0.356931,0.380000,0.164602
251,0.369766,0.426295,0.356347,0.380000,0.165070
252,0.370079,0.424603,0.355773,0.380000,0.165474
253,0.370371,0.422925,0.355207,0.380000,0.165895
254,0.370642,0.421260,0.354651,0.380000,0.166282
255,0.370892,0.419608,0.354103,0.380000,0.166711
256,0.371123,0.417969,0.353565,0.380000,0.169309
257,0.371333,0.416342,0.353036,0.380000,0.171108
258,0.371525,0.414729,0.352515,0.380000,0.171573
259,0.371698,0.413127,0.352003,0.380000,0.172095
260,0.371852,0.411538,0.351500,0.380000,0.172531
261,0.371988,0.409962,0.351005,0.380000,0.172970
262,0.372106,0.408397,0.350519,0.380000,0.173372
263,0.372206,0.406844,0.350042,0.380000,0.173791
264,0.372289,0.405303,0.349573,0.380000,0.174336
265,0.372355,0.403774,0.349112,0.380000,0.174749
266,0.372404,0.402256,0.348659,0.380000,0.175263
267,0.372437,0.400749,0.348215,0.380000,0.175769
268,0.372454,0.399254,0.347778,0.380000,0.176193
269,0.372456,0.397770,0.347349,0.380000,0.176596
270,0.372442,0.396296,0.346929,0.380000,0.177095
271,0.372413,0.394834,0.346515,0.380000,0.177512
272,0.372369,0.393382,0.346110,0.380000,0.177936
273,0.372311,0.391941,0.345711,0.380000,0.178366
274,0.372238,0.390511,0.345321,0.380000,0.178774
275,0.372152,0.389091,0.344937,0.380000,0.180364
276,0.372052,0.387681,0.344560,0.380000,0.180917
277,0.371939,0.386282,0.344190,0.380000,0.181370
278,0.371813,0.384892,0.343828,0.380000,0.182023
279,0.371673,0.383513,0.343472,0.380000,0.182444
280,0.371522,0.382143,0.343122,0.380000,0.182872
281,0.371358,0.384342,0.342779,0.386667,0.183611
282,0.371182,0.386525,0.342442,0.393333,0.184145
283,0.370995,0.388693,0.342111,0.400000,0.184589
284,0.370796,0.390845,0.341787,0.406667,0.185016
285,0.370586,0.392982,0.341469,0.413333,0.185430
286,0.370365,0.395105,0.341156,0.420000,0.185834
287,0.370133,0.397213,0.340849,0.426667,0.186247
288,0.369891,0.399306,0.340548,0.426667,0.186749
289,0.369638,0.401384,0.340252,0.426667,0.187212
290,0.369376,0.403448,0.339962,0.426667,0.187658
291,0.369104,0.405498,0.339677,0.426667,0.188090
292,0.368822,0.407534,0.339397,0.426667,0.188488
293,0.368531,0.409556,0.339122,0.426667,0.188871
294,0.368231,0.411565,0.338852,0.426667,0.189289
295,0.367922,0.413559,0.338587,0.426667,0.189776
296,0.367605,0.415541,0.338326,0.426667,0.192582
297,0.367279,0.417508,0.338071,0.426667,0.194083
298,0.366945,0.419463,0.337819,0.426667,0.194765
299,0.366603,0.421405,0.337572,0.426667,0.195312
300,0.366253,0.423333,0.337330,0.426667,0.195853
301,0.366361,0.421927,0.337502,0.426667,0.196285
302,0.366454,0.420530,0.337674,0.426667,0.197059
303,0.366533,0.419142,0.337848,0.426667,0.197481
304,0.366597,0.417763,0.338024,0.426667,0.197922
305,0.366649,0.416393,0.338201,0.426667,0.198352
306,0.366686,0.415033,0.338382,0.426667,0.198761
307,0.366711,0.413681,0.338561,0.426667,0.199210
308,0.366722,0.412338,0.338741,0.426667,0.199638
309,0.366721,0.411003,0.338920,0.426667,0.200050
310,0.366707,0.409677,0.339101,0.426667,0.200456
311,0.366680,0.408360,0.339285,0.426667,0.200886
312,0.366641,0.407051,0.339467,0.426667,0.201317
313,0.366591,0.405751,0.339649,0.426667,0.201816
314,0.366530,0.404459,0.339828,0.420000,0.202231
315,0.366456,0.403175,0.340012,0.413333,0.202973
316,0.366370,0.401899,0.340197,0.406667,0.203582
317,0.366273,0.400631,0.340381,0.400000,0.204159
318,0.366166,0.399371,0.340564,0.393333,0.204625
319,0.366047,0.398119,0.340748,0.386667,0.205111
320,0.365919,0.396875,0.340931,0.380000,0.205575
321,0.365779,0.395639,0.341113,0.373333,0.206047
322,0.365630,0.394410,0.341295,0.366667,0.206514
323,0.365472,0.393189,0.341473,0.360000,0.206981
324,0.365303,0.391975,0.341653,0.353333,0.207526
325,0.365125,0.393846,0.341832,0.353333,0.207988
326,0.364937,0.395706,0.342009,0.353333,0.208461
327,0.364740,0.397554,0.342186,0.353333,0.208935
328,0.364535,0.399390,0.342362,0.353333,0.209478
329,0.364320,0.401216,0.342536,0.353333,0.210180
330,0.364098,0.403030,0.342709,0.353333,0.212158
331,0.363867,0.404834,0.342880,0.353333,0.212616
332,0.363627,0.406627,0.343051,0.353333,0.213099
333,0.363379,0.408408,0.343221,0.353333,0.216891
334,0.363122,0.410180,0.343390,0.353333,0.217356
335,0.362860,0.411940,0.343555,0.353333,0.217785
336,0.362590,0.413690,0.343719,0.353333,0.218192
337,0.362312,0.415430,0.343882,0.353333,0.218600
338,0.362028,0.417160,0.344043,0.353333,0.219387
339,0.361738,0.418879,0.344200,0.353333,0.219791
340,0.361439,0.420588,0.344359,0.353333,0.220377
341,0.361133,0.422287,0.344515,0.353333,0.220788
342,0.360824,0.423977,0.344667,0.353333,0.221235
343,0.360508,0.425656,0.344819,0.353333,0.221662
344,0.360182,0.427326,0.344971,0.353333,0.222103
345,0.359850,0.428986,0.345123,0.353333,0.222538
346,0.359514,0.430636,0.345270,0.353333,0.222955
347,0.359171,0.432277,0.345417,0.353333,0.223699
348,0.358824,0.433908,0.345560,0.353333,0.224144
349,0.358470,0.435530,0.345704,0.353333,0.224588
350,0.358111,0.437143,0.345844,0.353333,0.225002
351,0.358354,0.435897,0.345531,0.353333,0.225604
352,0.358583,0.434659,0.345222,0.353333,0.226043
353,0.358799,0.433428,0.344919,0.353333,0.226439
354,0.359001,0.432203,0.344622,0.353333,0.226978
355,0.359190,0.430986,0.344330,0.353333,0.227555
356,0.359366,0.429775,0.344042,0.353333,0.227959
357,0.359530,0.428571,0.343760,0.353333,0.228360
358,0.359680,0.427374,0.343484,0.353333,0.228781
359,0.359819,0.426184,0.343211,0.353333,0.229184
360,0.359945,0.425000,0.342945,0.353333,0.229584
361,0.360058,0.423823,0.342683,0.353333,0.230008
362,0.360161,0.422652,0.342426,0.353333,0.230429
363,0.360251,0.421488,0.342174,0.353333,0.230840
364,0.360330,0.420330,0.341926,0.353333,0.231317
365,0.360398,0.419178,0.341683,0.353333,0.231695
366,0.360454,0.418033,0.341445,0.353333,0.232176
367,0.360499,0.416894,0.341211,0.353333,0.232598
368,0.360533,0.415761,0.340982,0.353333,0.233117
369,0.360557,0.414634,0.340758,0.353333,0.233504
370,0.360569,0.413514,0.340538,0.353333,0.233914
371,0.360572,0.412399,0.340322,0.353333,0.234327
372,0.360564,0.411290,0.340111,0.353333,0.234739
373,0.360546,0.410188,0.339903,0.353333,0.235405
374,0.360518,0.409091,0.339700,0.353333,0.235829
375,0.360480,0.408000,0.339502,0.353333,0.236237
376,0.360432,0.406915,0.339307,0.353333,0.236633
377,0.360375,0.405836,0.339116,0.353333,0.237037
378,0.360308,0.404762,0.338929,0.353333,0.237449
379,0.360232,0.403694,0.338746,0.353333,0.237870
380,0.360147,0.402632,0.338566,0.353333,0.238260
381,0.360053,0.401575,0.338391,0.353333,0.238853
382,0.359950,0.400524,0.338219,0.353333,0.239284
383,0.359839,0.399478,0.338050,0.353333,0.239696
384,0.359719,0.398438,0.337885,0.353333,0.240096
385,0.359591,0.397403,0.337723,0.353333,0.240510
386,0.359455,0.396373,0.337565,0.353333,0.240909
387,0.359310,0.397933,0.337409,0.360000,0.241298
388,0.359158,0.399485,0.337257,0.366667,0.241976
389,0.358998,0.401028,0.337108,0.373333,0.243525
390,0.358830,0.402564,0.336962,0.380000,0.243939
391,0.358655,0.404092,0.336819,0.386667,0.244365
392,0.358472,0.405612,0.336679,0.393333,0.244766
393,0.358282,0.407125,0.336542,0.400000,0.245169
394,0.358086,0.408629,0.336407,0.400000,0.245579
395,0.357882,0.410127,0.336275,0.400000,0.245984
396,0.357671,0.411616,0.336145,0.400000,0.246433
397,0.357454,0.413098,0.336018,0.400000,0.246836
398,0.357230,0.414573,0.335894,0.400000,0.247497
399,0.357001,0.416040,0.335772,0.400000,0.247917
400,0.356764,0.417500,0.335652,0.400000,0.248500
401,0.356942,0.416459,0.335484,0.400000,0.248944
402,0.357109,0.415423,0.335320,0.400000,0.249359
403,0.357265,0.414392,0.335160,0.400000,0.249760
404,0.357410,0.413366,0.335005,0.400000,0.250144
405,0.357545,0.412346,0.334854,0.400000,0.250562
406,0.357669,0.411330,0.334707,0.400000,0.250972
407,0.357782,0.410319,0.334565,0.400000,0.251541
408,0.357886,0.409314,0.334426,0.400000,0.252260
409,0.357979,0.408313,0.334291,0.400000,0.255230
410,0.358062,0.407317,0.334160,0.400000,0.256244
411,0.358136,0.406326,0.334033,0.400000,0.256682
412,0.358199,0.405340,0.333910,0.400000,0.257091
413,0.358253,0.404358,0.333790,0.400000,0.257528
414,0.358298,0.403382,0.333674,0.400000,0.258038
415,0.358333,0.402410,0.333561,0.400000,0.258449
416,0.358359,0.401442,0.333452,0.400000,0.258853
417,0.358375,0.400480,0.333346,0.400000,0.259386
418,0.358383,0.399522,0.333243,0.400000,0.259909
419,0.358382,0.398568,0.333143,0.400000,0.260329
420,0.358372,0.397619,0.333046,0.400000,0.260748
421,0.358353,0.396675,0.332952,0.400000,0.261237
422,0.358326,0.395735,0.332861,0.400000,0.261964
423,0.358290,0.394799,0.332773,0.400000,0.262485
424,0.358246,0.393868,0.332688,0.400000,0.262984
425,0.358194,0.392941,0.332605,0.400000,0.263784
426,0.358134,0.392019,0.332524,0.400000,0.264390
427,0.358066,0.391101,0.332447,0.400000,0.264809
428,0.357990,0.390187,0.332371,0.400000,0.265211
429,0.357906,0.389277,0.332298,0.400000,0.265659
430,0.357814,0.388372,0.332227,0.400000,0.266108
431,0.357716,0.389791,0.332159,0.400000,0.266539
432,0.357609,0.391204,0.332092,0.400000,0.266937
433,0.357496,0.392610,0.332028,0.400000,0.267712
434,0.357375,0.394009,0.331965,0.400000,0.268114
435,0.357247,0.395402,0.331905,0.400000,0.268516
436,0.357113,0.396789,0.331846,0.400000,0.269408
437,0.356971,0.398169,0.331789,0.400000,0.269846
438,0.356823,0.399543,0.331733,0.400000,0.270253
439,0.356668,0.400911,0.331680,0.400000,0.270646
440,0.356507,0.402273,0.331628,0.400000,0.271050
441,0.356339,0.403628,0.331577,0.400000,0.271775
442,0.356166,0.404977,0.331528,0.400000,0.272304
443,0.355986,0.406321,0.331480,0.400000,0.272747
444,0.355800,0.407658,0.331434,0.400000,0.274459
445,0.355608,0.408989,0.331389,0.400000,0.274927
446,0.355410,0.410314,0.331345,0.400000,0.275475
447,0.355206,0.411633,0.331302,0.400000,0.279537
448,0.354997,0.412946,0.331260,0.400000,0.280026
449,0.354782,0.414254,0.331220,0.400000,0.280449
450,0.354563,0.415556,0.331181,0.400000,0.280861
451,0.354682,0.414634,0.331246,0.400000,0.281354
452,0.354792,0.413717,0.331313,0.400000,0.281838
453,0.354894,0.412804,0.331383,0.400000,0.282255
454,0.354986,0.411894,0.331454,0.400000,0.282670
455,0.355070,0.410989,0.331527,0.400000,0.283075
456,0.355146,0.410088,0.331602,0.400000,0.283603
457,0.355212,0.409190,0.331679,0.400000,0.284113
458,0.355271,0.408297,0.331757,0.400000,0.284530
459,0.355320,0.407407,0.331836,0.400000,0.284933
460,0.355362,0.406522,0.331917,0.400000,0.285427
461,0.355396,0.405640,0.332000,0.400000,0.285832
462,0.355421,0.404762,0.332083,0.400000,0.286234
463,0.355439,0.403888,0.332168,0.400000,0.286641
464,0.355449,0.403017,0.332252,0.400000,0.287075
465,0.355451,0.402151,0.332340,0.400000,0.287586
466,0.355445,0.401288,0.332429,0.400000,0.288011
467,0.355431,0.400428,0.332519,0.400000,0.288419
468,0.355411,0.399573,0.332609,0.400000,0.288829
469,0.355382,0.398721,0.332701,0.400000,0.289242
470,0.355347,0.397872,0.332793,0.400000,0.289724
471,0.355304,0.397028,0.332886,0.400000,0.290139
472,0.355254,0.396186,0.332980,0.400000,0.290968
473,0.355197,0.395349,0.333072,0.400000,0.291472
474,0.355133,0.394515,0.333167,0.400000,0.291877
475,0.355063,0.393684,0.333262,0.393333,0.292277
476,0.354985,0.392857,0.333356,0.386667,0.292686
477,0.354901,0.392034,0.333452,0.380000,0.293083
478,0.354811,0.391213,0.333548,0.373333,0.293494
479,0.354714,0.392484,0.333643,0.373333,0.293910
480,0.354610,0.393750,0.333738,0.373333,0.294313
481,0.354501,0.395010,0.333834,0.373333,0.294733
482,0.354385,0.396266,0.333930,0.373333,0.295151
483,0.354263,0.397516,0.334026,0.373333,0.295561
484,0.354135,0.398760,0.334122,0.373333,0.295965
485,0.354001,0.400000,0.334217,0.373333,0.296375
486,0.353862,0.401235,0.334311,0.373333,0.296780
487,0.353717,0.402464,0.334406,0.373333,0.297227
488,0.353567,0.403689,0.334501,0.373333,0.297624
489,0.353411,0.404908,0.334593,0.373333,0.298025
490,0.353249,0.406122,0.334687,0.373333,0.298413
491,0.353083,0.407332,0.334781,0.373333,0.298806
492,0.352912,0.408537,0.334871,0.373333,0.299923
493,0.352735,0.409736,0.334963,0.373333,0.300541
494,0.352552,0.410931,0.335055,0.373333,0.300961
495,0.352364,0.412121,0.335147,0.373333,0.301377
496,0.352172,0.413306,0.335237,0.373333,0.301910
497,0.351975,0.414487,0.335328,0.373333,0.302320
498,0.351774,0.415663,0.335417,0.373333,0.302746
499,0.351567,0.416834,0.335506,0.373333,0.303217
500,0.351356,0.418000,0.335593,0.373333,0.303625
