ITERATION,TNE ( Total Network Error ),TNS ( Total Network Success ),MNE ( Mobile Network Error ),MNS ( Mobile Network Success ),Time Elapsed (s)
116,0.596021,0.431034,0.460923,0.333333,0.110188
117,0.595869,0.427350,0.464778,0.333333,0.110703
118,0.595655,0.423729,0.468582,0.333333,0.111235
119,0.595380,0.420168,0.472335,0.333333,0.111910
120,0.595045,0.416667,0.476036,0.333333,0.112418
121,0.594654,0.413223,0.479688,0.333333,0.113044
122,0.594207,0.409836,0.483288,0.333333,0.113545
123,0.593706,0.406504,0.486839,0.333333,0.114049
124,0.593153,0.403226,0.490340,0.333333,0.114521
125,0.592550,0.400000,0.493792,0.333333,0.115008
126,0.591898,0.396825,0.497195,0.333333,0.115835
127,0.591199,0.393701,0.500548,0.333333,0.116365
128,0.590453,0.390625,0.503853,0.333333,0.117236
129,0.589663,0.387597,0.507110,0.333333,0.117737
130,0.588830,0.384615,0.510319,0.333333,0.118238
131,0.587955,0.381679,0.513481,0.333333,0.119052
132,0.587040,0.378788,0.516595,0.333333,0.120622
133,0.586086,0.375940,0.519663,0.333333,0.121243
134,0.585093,0.373134,0.522683,0.333333,0.124485
135,0.584065,0.370370,0.525658,0.333333,0.127734
136,0.583001,0.367647,0.528588,0.333333,0.128323
137,0.581903,0.364964,0.531472,0.333333,0.129185
138,0.580773,0.362319,0.534311,0.333333,0.129699
139,0.579610,0.359712,0.537106,0.333333,0.130240
140,0.578417,0.357143,0.539856,0.333333,0.130930
141,0.577195,0.354610,0.542563,0.333333,0.131395
142,0.575944,0.352113,0.545227,0.333333,0.131964
143,0.574666,0.349650,0.547848,0.333333,0.132466
144,0.573362,0.347222,0.550427,0.333333,0.133120
145,0.572032,0.344828,0.552964,0.333333,0.133602
146,0.570678,0.349315,0.555460,0.340000,0.134069
147,0.569301,0.353741,0.557915,0.346667,0.134580
148,0.567901,0.358108,0.560329,0.353333,0.135635
149,0.566481,0.362416,0.562704,0.360000,0.136304
150,0.565039,0.366667,0.565039,0.366667,0.136940
151,0.563843,0.364238,0.563214,0.360000,0.137507
152,0.562619,0.361842,0.561380,0.353333,0.138030
153,0.561372,0.359477,0.559536,0.346667,0.138533
154,0.560103,0.357143,0.557683,0.340000,0.139043
155,0.558813,0.354839,0.555819,0.333333,0.139511
156,0.557505,0.358974,0.553945,0.333333,0.139989
157,0.556173,0.363057,0.552069,0.333333,0.140485
158,0.554823,0.367089,0.550186,0.333333,0.141091
159,0.553451,0.371069,0.548304,0.333333,0.141592
160,0.552064,0.375000,0.546413,0.333333,0.142858
161,0.550662,0.378882,0.544515,0.333333,0.143380
162,0.549243,0.382716,0.542617,0.333333,0.143958
163,0.547807,0.386503,0.540720,0.333333,0.144577
164,0.546355,0.390244,0.538828,0.333333,0.145165
165,0.544893,0.393939,0.536924,0.333333,0.145773
166,0.543419,0.397590,0.535019,0.333333,0.146266
167,0.541931,0.401198,0.533118,0.333333,0.146768
168,0.540431,0.404762,0.531220,0.333333,0.147224
169,0.538921,0.408284,0.529323,0.333333,0.147734
170,0.537400,0.411765,0.527431,0.333333,0.148221
171,0.535868,0.415205,0.525544,0.333333,0.148780
172,0.534328,0.418605,0.523662,0.333333,0.149260
173,0.532778,0.421965,0.521791,0.333333,0.149735
174,0.531221,0.425287,0.519922,0.333333,0.151474
175,0.529657,0.428571,0.518062,0.333333,0.151984
176,0.528086,0.431818,0.516212,0.333333,0.152541
177,0.526508,0.435028,0.514368,0.333333,0.153178
178,0.524925,0.438202,0.512533,0.333333,0.153647
179,0.523337,0.441341,0.510708,0.333333,0.154136
180,0.521744,0.444444,0.508897,0.333333,0.154959
181,0.520147,0.447514,0.507097,0.333333,0.155461
182,0.518546,0.450549,0.505306,0.333333,0.156038
183,0.516943,0.453552,0.503525,0.333333,0.156506
184,0.515337,0.456522,0.501756,0.333333,0.157122
185,0.513728,0.459459,0.500007,0.333333,0.157580
186,0.512117,0.462366,0.498272,0.333333,0.158056
187,0.510505,0.465241,0.496547,0.333333,0.158504
188,0.508892,0.468085,0.494842,0.333333,0.158987
189,0.507278,0.470899,0.493156,0.333333,0.159452
190,0.505664,0.473684,0.491479,0.333333,0.159923
191,0.504050,0.476440,0.489819,0.333333,0.160637
192,0.502436,0.479167,0.488189,0.333333,0.161365
193,0.500823,0.481865,0.486567,0.333333,0.161864
194,0.499211,0.484536,0.484957,0.333333,0.162378
195,0.497601,0.487179,0.483362,0.333333,0.162849
