ITERATION,TNE ( Total Network Error ),TNS ( Total Network Success ),MNE ( Mobile Network Error ),MNS ( Mobile Network Success ),Time Elapsed (s)
116,0.466231,0.439655,0.360552,0.340000,0.031060
117,0.467071,0.435897,0.364315,0.340000,0.031294
118,0.467822,0.432203,0.368020,0.340000,0.031544
119,0.468488,0.428571,0.371667,0.340000,0.031891
120,0.469069,0.425000,0.375255,0.340000,0.032140
121,0.469571,0.421488,0.378787,0.340000,0.036017
122,0.469994,0.418033,0.382262,0.340000,0.036342
123,0.470342,0.414634,0.385681,0.340000,0.036588
124,0.470617,0.411290,0.389043,0.340000,0.036914
125,0.470821,0.408000,0.392351,0.340000,0.037158
126,0.470956,0.404762,0.395603,0.340000,0.037420
127,0.471025,0.401575,0.398801,0.340000,0.037658
128,0.471030,0.398438,0.401945,0.340000,0.037902
129,0.470972,0.395349,0.405036,0.340000,0.038137
130,0.470855,0.392308,0.408075,0.340000,0.038373
131,0.470681,0.389313,0.411061,0.340000,0.038608
132,0.470450,0.386364,0.413996,0.340000,0.038844
133,0.470165,0.383459,0.416880,0.340000,0.039096
134,0.469829,0.380597,0.419714,0.340000,0.039343
135,0.469442,0.377778,0.422498,0.340000,0.039999
136,0.469008,0.375000,0.425234,0.340000,0.040256
137,0.468527,0.372263,0.427921,0.340000,0.040507
138,0.468001,0.369565,0.430561,0.340000,0.040788
139,0.467432,0.366906,0.433154,0.340000,0.041045
140,0.466823,0.364286,0.435701,0.340000,0.041288
141,0.466173,0.361702,0.438203,0.340000,0.041544
142,0.465486,0.359155,0.440660,0.340000,0.041792
143,0.464762,0.356643,0.443073,0.340000,0.042036
144,0.464003,0.354167,0.445443,0.340000,0.042278
145,0.463211,0.351724,0.447771,0.340000,0.042526
146,0.462387,0.349315,0.450056,0.340000,0.042766
147,0.461532,0.346939,0.452301,0.340000,0.043011
148,0.460648,0.344595,0.454506,0.340000,0.043259
149,0.459735,0.342282,0.456670,0.340000,0.043498
150,0.458797,0.346667,0.458797,0.346667,0.044103
151,0.459034,0.344371,0.457759,0.346667,0.044355
152,0.459210,0.342105,0.456702,0.346667,0.044593
153,0.459330,0.339869,0.455626,0.346667,0.044836
154,0.459395,0.337662,0.454528,0.346667,0.045076
155,0.459406,0.335484,0.453406,0.346667,0.045350
156,0.459366,0.333333,0.452257,0.346667,0.045588
157,0.459275,0.331210,0.451101,0.346667,0.045832
158,0.459135,0.329114,0.449924,0.346667,0.046078
159,0.458948,0.327044,0.448741,0.346667,0.046325
160,0.458716,0.325000,0.447538,0.346667,0.046570
161,0.458439,0.322981,0.446313,0.346667,0.046818
162,0.458120,0.320988,0.445078,0.346667,0.047065
163,0.457761,0.319018,0.443839,0.346667,0.047314
164,0.457365,0.317073,0.442602,0.346667,0.047551
165,0.456928,0.315152,0.441330,0.346667,0.048581
166,0.456453,0.313253,0.440043,0.346667,0.048826
167,0.455942,0.311377,0.438752,0.346667,0.049071
168,0.455399,0.309524,0.437456,0.346667,0.049315
169,0.454821,0.307692,0.436147,0.346667,0.049550
170,0.454213,0.311765,0.434837,0.353333,0.049942
171,0.453574,0.315789,0.433520,0.360000,0.050244
172,0.452906,0.319767,0.432200,0.366667,0.050586
173,0.452216,0.323699,0.430896,0.373333,0.050860
174,0.451494,0.327586,0.429568,0.380000,0.053053
175,0.450747,0.331429,0.428242,0.386667,0.054619
176,0.449976,0.335227,0.426921,0.393333,0.054914
177,0.449181,0.338983,0.425594,0.400000,0.055172
178,0.448365,0.342697,0.424271,0.406667,0.055435
179,0.447529,0.346369,0.422952,0.413333,0.055711
180,0.446672,0.350000,0.421638,0.413333,0.055971
181,0.445797,0.353591,0.420326,0.413333,0.056256
182,0.444900,0.357143,0.419010,0.413333,0.056594
183,0.443987,0.360656,0.417703,0.413333,0.056845
184,0.443057,0.364130,0.416398,0.413333,0.057222
185,0.442114,0.367568,0.415109,0.413333,0.057685
186,0.441158,0.370968,0.413828,0.413333,0.058050
187,0.440184,0.374332,0.412547,0.413333,0.058326
188,0.439199,0.377660,0.411279,0.413333,0.058605
189,0.438205,0.380952,0.410028,0.413333,0.058912
190,0.437193,0.384211,0.408772,0.413333,0.059183
191,0.436171,0.387435,0.407528,0.413333,0.059467
192,0.435143,0.390625,0.406305,0.413333,0.060368
193,0.434105,0.393782,0.405091,0.413333,0.060650
194,0.433049,0.396907,0.403869,0.413333,0.060937
195,0.431984,0.400000,0.402656,0.413333,0.061211
196,0.430916,0.403061,0.401468,0.413333,0.061493
