ITERATION,TNE ( Total Network Error ),TNS ( Total Network Success ),MNE ( Mobile Network Error ),MNS ( Mobile Network Success ),Time Elapsed (s)
116,0.138873,0.439655,0.136799,0.500000,0.043235
117,0.138724,0.444444,0.136782,0.500000,0.043481
118,0.138842,0.440678,0.136762,0.500000,0.043692
119,0.138665,0.445378,0.136768,0.500000,0.043888
120,0.138803,0.441667,0.136776,0.500000,0.044077
121,0.138659,0.446281,0.136759,0.500000,0.044269
122,0.138773,0.442623,0.136738,0.500000,0.044458
123,0.138603,0.447154,0.136745,0.500000,0.044675
124,0.138737,0.443548,0.136753,0.500000,0.044862
125,0.138598,0.448000,0.136736,0.500000,0.045041
126,0.138707,0.444444,0.136715,0.500000,0.045224
127,0.138543,0.448819,0.136722,0.500000,0.045405
128,0.138674,0.445312,0.136730,0.500000,0.045587
129,0.138539,0.449612,0.136713,0.500000,0.045769
130,0.138645,0.446154,0.136692,0.500000,0.045953
131,0.138487,0.450382,0.136699,0.500000,0.046139
132,0.138614,0.446970,0.136707,0.500000,0.046330
133,0.138484,0.451128,0.136691,0.500000,0.046556
134,0.138586,0.447761,0.136669,0.500000,0.046742
135,0.138433,0.451852,0.136676,0.500000,0.046933
136,0.138558,0.448529,0.136684,0.500000,0.047132
137,0.138431,0.452555,0.136668,0.500000,0.047326
138,0.138530,0.449275,0.136647,0.500000,0.047516
139,0.138382,0.453237,0.136653,0.500000,0.047822
140,0.138504,0.450000,0.136662,0.500000,0.048048
141,0.138380,0.453901,0.136646,0.500000,0.048232
142,0.138477,0.450704,0.136624,0.500000,0.048415
143,0.138333,0.454545,0.136631,0.500000,0.048599
144,0.138452,0.451389,0.136639,0.500000,0.048784
145,0.138332,0.455172,0.136623,0.500000,0.048972
146,0.138425,0.452055,0.136602,0.500000,0.049152
147,0.138286,0.455782,0.136608,0.500000,0.049340
148,0.138402,0.452703,0.136617,0.500000,0.049525
149,0.138285,0.456376,0.136601,0.500000,0.049726
150,0.138376,0.453333,0.136579,0.500000,0.049914
151,0.138241,0.456954,0.136586,0.500000,0.050097
152,0.138355,0.453947,0.136595,0.500000,0.050282
153,0.138241,0.457516,0.136579,0.500000,0.050468
154,0.138329,0.454545,0.136557,0.500000,0.050669
155,0.138198,0.458065,0.136564,0.500000,0.051149
156,0.138309,0.455128,0.136573,0.500000,0.051357
157,0.138198,0.458599,0.136557,0.500000,0.051593
158,0.138283,0.455696,0.136535,0.500000,0.051814
159,0.138156,0.459119,0.136542,0.500000,0.052006
160,0.138265,0.456250,0.136551,0.500000,0.052296
161,0.138156,0.459627,0.136536,0.500000,0.052568
162,0.138240,0.456790,0.136514,0.500000,0.052841
163,0.138116,0.460123,0.136521,0.500000,0.053050
164,0.138223,0.457317,0.136530,0.500000,0.053239
165,0.138117,0.460606,0.136514,0.500000,0.053445
166,0.138198,0.457831,0.136492,0.500000,0.053633
167,0.138077,0.461078,0.136499,0.500000,0.053823
168,0.138182,0.458333,0.136508,0.500000,0.054013
169,0.138078,0.461538,0.136493,0.500000,0.054204
170,0.138157,0.458824,0.136471,0.500000,0.054396
171,0.138040,0.461988,0.136478,0.500000,0.054585
172,0.138142,0.459302,0.136487,0.500000,0.054769
173,0.138041,0.462428,0.136471,0.500000,0.054955
174,0.138118,0.459770,0.136449,0.500000,0.055193
175,0.138004,0.462857,0.136456,0.500000,0.055384
176,0.138104,0.460227,0.136466,0.500000,0.055582
177,0.138005,0.463277,0.136450,0.500000,0.055785
178,0.138080,0.460674,0.136428,0.500000,0.055974
179,0.137969,0.463687,0.136435,0.500000,0.056250
180,0.138067,0.461111,0.136445,0.500000,0.056446
