ITERATION,TNE ( Total Network Error ),TNS ( Total Network Success ),MNE ( Mobile Network Error ),MNS ( Mobile Network Success ),Time Elapsed (s)
116,0.143539,0.163793,0.138085,0.000000,0.080611
117,0.143489,0.162393,0.138068,0.000000,0.080998
118,0.143434,0.161017,0.138068,0.000000,0.081271
119,0.143416,0.159664,0.138052,0.000000,0.081535
120,0.143356,0.158333,0.138049,0.000000,0.081789
121,0.143309,0.157025,0.138033,0.000000,0.082101
122,0.143257,0.155738,0.138032,0.000000,0.082389
123,0.143240,0.154472,0.138017,0.000000,0.082696
124,0.143184,0.153226,0.138014,0.000000,0.083053
125,0.143139,0.152000,0.137998,0.000000,0.083483
126,0.143090,0.150794,0.137997,0.000000,0.083781
127,0.143075,0.149606,0.137982,0.000000,0.084082
128,0.143021,0.148438,0.137979,0.000000,0.084472
129,0.142979,0.147287,0.137964,0.000000,0.084755
130,0.142932,0.146154,0.137962,0.000000,0.085027
131,0.142918,0.145038,0.137947,0.000000,0.085291
132,0.142867,0.143939,0.137944,0.000000,0.085551
133,0.142827,0.142857,0.137929,0.000000,0.085818
134,0.142782,0.141791,0.137927,0.000000,0.086114
135,0.142770,0.140741,0.137913,0.000000,0.086387
136,0.142722,0.139706,0.137909,0.000000,0.086660
137,0.142683,0.138686,0.137894,0.000000,0.086952
138,0.142641,0.137681,0.137893,0.000000,0.087436
139,0.142629,0.136691,0.137878,0.000000,0.087837
140,0.142583,0.135714,0.137874,0.000000,0.089007
141,0.142546,0.134752,0.137860,0.000000,0.089326
142,0.142506,0.133803,0.137858,0.000000,0.089625
143,0.142495,0.132867,0.137844,0.000000,0.089895
144,0.142451,0.131944,0.137840,0.000000,0.090171
145,0.142416,0.131034,0.137826,0.000000,0.090432
146,0.142378,0.130137,0.137824,0.000000,0.090687
147,0.142368,0.129252,0.137810,0.000000,0.090958
148,0.142326,0.128378,0.137806,0.000000,0.091216
149,0.142292,0.127517,0.137792,0.000000,0.091470
150,0.142255,0.126667,0.137790,0.000000,0.091728
151,0.142246,0.125828,0.137776,0.000000,0.091992
152,0.142206,0.125000,0.137772,0.000000,0.092262
153,0.142173,0.124183,0.137758,0.000000,0.092917
154,0.142139,0.123377,0.137756,0.000000,0.093322
155,0.142130,0.122581,0.137742,0.000000,0.095013
156,0.142091,0.121795,0.137738,0.000000,0.095939
157,0.142060,0.121019,0.137725,0.000000,0.096257
158,0.142027,0.120253,0.137723,0.000000,0.096794
159,0.142019,0.119497,0.137708,0.000000,0.097110
160,0.141982,0.118750,0.137704,0.000000,0.097772
161,0.141951,0.118012,0.137691,0.000000,0.098091
162,0.141920,0.117284,0.137689,0.000000,0.098354
163,0.141912,0.116564,0.137675,0.000000,0.098613
164,0.141877,0.115854,0.137671,0.000000,0.098868
165,0.141847,0.115152,0.137658,0.000000,0.099440
166,0.141817,0.114458,0.137656,0.000000,0.099698
167,0.141810,0.113772,0.137641,0.000000,0.099955
168,0.141776,0.113095,0.137637,0.000000,0.100228
169,0.141747,0.112426,0.137624,0.000000,0.100491
170,0.141718,0.111765,0.137623,0.000000,0.100751
171,0.141711,0.111111,0.137608,0.000000,0.101004
172,0.141679,0.110465,0.137604,0.000000,0.101262
173,0.141651,0.109827,0.137591,0.000000,0.101515
174,0.141623,0.109195,0.137589,0.000000,0.101767
175,0.141617,0.108571,0.137575,0.000000,0.102046
176,0.141585,0.107955,0.137571,0.000000,0.102348
177,0.141559,0.107345,0.137558,0.000000,0.102601
178,0.141532,0.106742,0.137556,0.000000,0.102853
179,0.141526,0.106145,0.137542,0.000000,0.103106
180,0.141495,0.105556,0.137538,0.000000,0.103363
181,0.141469,0.104972,0.137526,0.000000,0.103619
182,0.141444,0.104396,0.137524,0.000000,0.103874
183,0.141438,0.103825,0.137509,0.000000,0.104130
184,0.141409,0.103261,0.137505,0.000000,0.104383
185,0.141383,0.102703,0.137493,0.000000,0.104636
186,0.141359,0.102151,0.137491,0.000000,0.104899
187,0.141353,0.101604,0.137477,0.000000,0.105164
188,0.141325,0.101064,0.137472,0.000000,0.105423
189,0.141300,0.100529,0.137460,0.000000,0.105672
