ITERATION,TNE ( Total Network Error ),TNS ( Total Network Success ),MNE ( Mobile Network Error ),MNS ( Mobile Network Success ),Time Elapsed (s)
116,0.142026,0.310345,0.137895,0.250000,0.013896
117,0.141891,0.307692,0.137884,0.250000,0.014018
118,0.142013,0.305085,0.137850,0.250000,0.014149
119,0.141826,0.310924,0.137869,0.250000,0.014277
120,0.141886,0.308333,0.137849,0.250000,0.014408
121,0.141758,0.305785,0.137839,0.250000,0.014536
122,0.141875,0.303279,0.137805,0.250000,0.014667
123,0.141696,0.308943,0.137823,0.250000,0.014817
124,0.141755,0.306452,0.137803,0.250000,0.014964
125,0.141631,0.304000,0.137793,0.250000,0.015433
126,0.141744,0.301587,0.137759,0.250000,0.015601
127,0.141573,0.307087,0.137777,0.250000,0.015757
128,0.141630,0.304688,0.137758,0.250000,0.015900
129,0.141510,0.302326,0.137748,0.250000,0.016048
130,0.141620,0.300000,0.137714,0.250000,0.016198
131,0.141455,0.305344,0.137732,0.250000,0.016350
132,0.141511,0.303030,0.137713,0.250000,0.016497
133,0.141396,0.300752,0.137703,0.250000,0.016630
134,0.141502,0.298507,0.137669,0.250000,0.016801
135,0.141344,0.303704,0.137686,0.250000,0.016942
136,0.141398,0.301471,0.137667,0.250000,0.017074
137,0.141287,0.299270,0.137659,0.250000,0.017206
138,0.141390,0.297101,0.137624,0.250000,0.017334
139,0.141237,0.302158,0.137642,0.250000,0.017461
140,0.141290,0.300000,0.137622,0.250000,0.018029
141,0.141182,0.297872,0.137614,0.250000,0.018164
142,0.141282,0.295775,0.137580,0.250000,0.018294
143,0.141135,0.300699,0.137597,0.250000,0.018424
144,0.141187,0.298611,0.137578,0.250000,0.018552
145,0.141083,0.296552,0.137570,0.250000,0.018680
146,0.141180,0.294521,0.137535,0.250000,0.018815
147,0.141038,0.299320,0.137552,0.250000,0.018948
148,0.141088,0.297297,0.137533,0.250000,0.019081
149,0.140987,0.295302,0.137525,0.250000,0.019207
150,0.141081,0.293333,0.137491,0.250000,0.019336
151,0.140944,0.298013,0.137508,0.250000,0.019471
152,0.140994,0.296053,0.137489,0.250000,0.019607
153,0.140896,0.294118,0.137481,0.250000,0.019743
154,0.140987,0.292208,0.137447,0.250000,0.019870
155,0.140854,0.296774,0.137464,0.250000,0.020006
156,0.140903,0.294872,0.137445,0.250000,0.020173
157,0.140808,0.292994,0.137437,0.250000,0.020455
158,0.140896,0.291139,0.137403,0.250000,0.020587
159,0.140768,0.295597,0.137420,0.250000,0.020712
160,0.140815,0.293750,0.137400,0.250000,0.020868
161,0.140723,0.291925,0.137394,0.250000,0.021000
162,0.140809,0.290123,0.137359,0.250000,0.021125
163,0.140685,0.294479,0.137376,0.250000,0.021250
164,0.140731,0.292683,0.137357,0.250000,0.021373
165,0.140641,0.290909,0.137350,0.250000,0.021501
166,0.140725,0.289157,0.137315,0.250000,0.021630
167,0.140604,0.293413,0.137332,0.250000,0.021783
168,0.140649,0.291667,0.137313,0.250000,0.021912
169,0.140562,0.289941,0.137306,0.250000,0.022031
170,0.140644,0.288235,0.137272,0.250000,0.022155
171,0.140527,0.292398,0.137288,0.250000,0.022276
172,0.140571,0.290698,0.137269,0.250000,0.022393
