ITERATION,TNE ( Total Network Error ),TNS ( Total Network Success ),MNE ( Mobile Network Error ),MNS ( Mobile Network Success ),Time Elapsed (s)
116,0.150946,0.112069,0.145132,0.000000,0.050011
117,0.150814,0.111111,0.145091,0.000000,0.050548
118,0.150729,0.110169,0.145082,0.000000,0.050843
119,0.150795,0.109244,0.145092,0.000000,0.051238
120,0.150750,0.108333,0.145063,0.000000,0.051533
121,0.150623,0.107438,0.145022,0.000000,0.051822
122,0.150542,0.106557,0.145013,0.000000,0.052120
123,0.150607,0.105691,0.145023,0.000000,0.052418
124,0.150564,0.104839,0.144995,0.000000,0.052716
125,0.150441,0.104000,0.144953,0.000000,0.053015
126,0.150364,0.103175,0.144944,0.000000,0.053354
127,0.150429,0.102362,0.144955,0.000000,0.053652
128,0.150388,0.101562,0.144927,0.000000,0.053947
129,0.150269,0.100775,0.144885,0.000000,0.054243
130,0.150195,0.100000,0.144876,0.000000,0.054635
131,0.150260,0.099237,0.144887,0.000000,0.054944
132,0.150220,0.098485,0.144859,0.000000,0.055721
133,0.150105,0.097744,0.144817,0.000000,0.056718
134,0.150035,0.097015,0.144807,0.000000,0.057095
135,0.150099,0.096296,0.144819,0.000000,0.057429
136,0.150061,0.095588,0.144791,0.000000,0.057762
137,0.149949,0.094891,0.144749,0.000000,0.058131
138,0.149881,0.094203,0.144739,0.000000,0.058537
139,0.149945,0.093525,0.144752,0.000000,0.059257
140,0.149908,0.092857,0.144723,0.000000,0.060102
141,0.149799,0.092199,0.144681,0.000000,0.060672
142,0.149734,0.091549,0.144671,0.000000,0.061132
143,0.149798,0.090909,0.144684,0.000000,0.061486
144,0.149762,0.090278,0.144656,0.000000,0.061860
145,0.149656,0.089655,0.144613,0.000000,0.062197
146,0.149594,0.089041,0.144603,0.000000,0.063134
147,0.149657,0.088435,0.144617,0.000000,0.063469
148,0.149623,0.087838,0.144588,0.000000,0.063805
149,0.149519,0.087248,0.144546,0.000000,0.064130
150,0.149459,0.086667,0.144536,0.000000,0.064457
151,0.149522,0.086093,0.144550,0.000000,0.064887
152,0.149488,0.085526,0.144521,0.000000,0.065213
153,0.149387,0.084967,0.144479,0.000000,0.065538
154,0.149329,0.084416,0.144468,0.000000,0.065872
155,0.149392,0.083871,0.144483,0.000000,0.066202
156,0.149359,0.083333,0.144454,0.000000,0.066664
157,0.149261,0.082803,0.144411,0.000000,0.066994
158,0.149204,0.082278,0.144401,0.000000,0.067346
159,0.149266,0.081761,0.144416,0.000000,0.067678
160,0.149235,0.081250,0.144387,0.000000,0.068008
161,0.149138,0.080745,0.144344,0.000000,0.068347
162,0.149084,0.080247,0.144334,0.000000,0.068770
